Date,"Paracetamolo"
2016-06-07,681
2016-06-08,779
2016-06-09,790
2016-06-10,758
2016-06-11,705
2016-06-12,757
2016-06-13,725
2016-06-14,848
2016-06-15,758
2016-06-16,723
2016-06-17,673
2016-06-18,686
2016-06-19,771
2016-06-20,698
2016-06-21,737
2016-06-22,701
2016-06-23,741
2016-06-24,638
2016-06-25,650
2016-06-26,648
2016-06-27,666
2016-06-28,682
2016-06-29,680
2016-06-30,730
2016-07-01,679
2016-07-02,592
2016-07-03,616
2016-07-04,708
2016-07-05,722
2016-07-06,714
2016-07-07,682
2016-07-08,658
2016-07-09,561
2016-07-10,640
2016-07-11,649
2016-07-12,684
2016-07-13,640
2016-07-14,646
2016-07-15,627
2016-07-16,575
2016-07-17,608
2016-07-18,688
2016-07-19,660
2016-07-20,642
2016-07-21,655
2016-07-22,598
2016-07-23,581
2016-07-24,633
2016-07-25,660
2016-07-26,634
2016-07-27,713
2016-07-28,592
2016-07-29,581
2016-07-30,552
2016-07-31,537
2016-08-01,588
2016-08-02,654
2016-08-03,621
2016-08-04,623
2016-08-05,584
2016-08-06,558
2016-08-07,666
2016-08-08,669
2016-08-09,647
2016-08-10,656
2016-08-11,690
2016-08-12,706
2016-08-13,636
2016-08-14,631
2016-08-15,586
2016-08-16,667
2016-08-17,677
2016-08-18,663
2016-08-19,765
2016-08-20,675
2016-08-21,652
2016-08-22,725
2016-08-23,793
2016-08-24,799
2016-08-25,790
2016-08-26,779
2016-08-27,693
2016-08-28,648
2016-08-29,720
2016-08-30,806
2016-08-31,721
2016-09-01,642
2016-09-02,749
2016-09-03,725
2016-09-04,718
2016-09-05,828
2016-09-06,796
2016-09-07,777
2016-09-08,790
2016-09-09,704
2016-09-10,669
2016-09-11,737
2016-09-12,766
2016-09-13,798
2016-09-14,709
2016-09-15,749
2016-09-16,720
2016-09-17,699
2016-09-18,693
2016-09-19,830
2016-09-20,848
2016-09-21,932
2016-09-22,1189
2016-09-23,860
2016-09-24,800
2016-09-25,877
2016-09-26,1006
2016-09-27,1036
2016-09-28,1102
2016-09-29,1069
2016-09-30,949
2016-10-01,989
2016-10-02,902
2016-10-03,1081
2016-10-04,1781
2016-10-05,1266
2016-10-06,1131
2016-10-07,1062
2016-10-08,1024
2016-10-09,1065
2016-10-10,1169
2016-10-11,1176
2016-10-12,1072
2016-10-13,1118
2016-10-14,1144
2016-10-15,993
2016-10-16,954
2016-10-17,1121
2016-10-18,1102
2016-10-19,1082
2016-10-20,1057
2016-10-21,1072
2016-10-22,1006
2016-10-23,975
2016-10-24,1053
2016-10-25,1040
2016-10-26,1020
2016-10-27,1163
2016-10-28,959
2016-10-29,830
2016-10-30,877
2016-10-31,940
2016-11-01,932
2016-11-02,1019
2016-11-03,1066
2016-11-04,1028
2016-11-05,958
2016-11-06,916
2016-11-07,1037
2016-11-08,1008
2016-11-09,951
2016-11-10,1028
2016-11-11,939
2016-11-12,859
2016-11-13,947
2016-11-14,996
2016-11-15,978
2016-11-16,1062
2016-11-17,1004
2016-11-18,1069
2016-11-19,939
2016-11-20,938
2016-11-21,1032
2016-11-22,983
2016-11-23,1019
2016-11-24,1158
2016-11-25,925
2016-11-26,872
2016-11-27,838
2016-11-28,980
2016-11-29,987
2016-11-30,1062
2016-12-01,985
2016-12-02,898
2016-12-03,901
2016-12-04,918
2016-12-05,883
2016-12-06,1033
2016-12-07,973
2016-12-08,1067
2016-12-09,1020
2016-12-10,1056
2016-12-11,1074
2016-12-12,1142
2016-12-13,1210
2016-12-14,1268
2016-12-15,1219
2016-12-16,1172
2016-12-17,1154
2016-12-18,1155
2016-12-19,1327
2016-12-20,1329
2016-12-21,1333
2016-12-22,1365
2016-12-23,1304
2016-12-24,1206
2016-12-25,1302
2016-12-26,1715
2016-12-27,2220
2016-12-28,2026
2016-12-29,2081
2016-12-30,2029
2016-12-31,1755
2017-01-01,1589
2017-01-02,1841
2017-01-03,2225
2017-01-04,2101
2017-01-05,1851
2017-01-06,1627
2017-01-07,1584
2017-01-08,1485
2017-01-09,1863
2017-01-10,1472
2017-01-11,1505
2017-01-12,1443
2017-01-13,1379
2017-01-14,1261
2017-01-15,1214
2017-01-16,1342
2017-01-17,1738
2017-01-18,1515
2017-01-19,1244
2017-01-20,1165
2017-01-21,1116
2017-01-22,1149
2017-01-23,1244
2017-01-24,1282
2017-01-25,1192
2017-01-26,1248
2017-01-27,1127
2017-01-28,1138
2017-01-29,1141
2017-01-30,1162
2017-01-31,1224
2017-02-01,1163
2017-02-02,1381
2017-02-03,1127
2017-02-04,1065
2017-02-05,1081
2017-02-06,1557
2017-02-07,1098
2017-02-08,1849
2017-02-09,1621
2017-02-10,1390
2017-02-11,1033
2017-02-12,986
2017-02-13,1280
2017-02-14,1162
2017-02-15,1085
2017-02-16,1125
2017-02-17,1042
2017-02-18,1056
2017-02-19,975
2017-02-20,1052
2017-02-21,1087
2017-02-22,1147
2017-02-23,1019
2017-02-24,965
2017-02-25,1050
2017-02-26,868
2017-02-27,933
2017-02-28,1018
2017-03-01,1029
2017-03-02,933
2017-03-03,997
2017-03-04,883
2017-03-05,908
2017-03-06,909
2017-03-07,1131
2017-03-08,970
2017-03-09,951
2017-03-10,929
2017-03-11,840
2017-03-12,856
2017-03-13,2768
2017-03-14,1302
2017-03-15,1114
2017-03-16,1011
2017-03-17,936
2017-03-18,1322
2017-03-19,976
2017-03-20,1014
2017-03-21,977
2017-03-22,1055
2017-03-23,955
2017-03-24,955
2017-03-25,869
2017-03-26,804
2017-03-27,857
2017-03-28,994
2017-03-29,952
2017-03-30,892
2017-03-31,881
2017-04-01,768
2017-04-02,841
2017-04-03,903
2017-04-04,842
2017-04-05,896
2017-04-06,847
2017-04-07,805
2017-04-08,748
2017-04-09,763
2017-04-10,813
2017-04-11,823
2017-04-12,911
2017-04-13,845
2017-04-14,729
2017-04-15,691
2017-04-16,698
2017-04-17,748
2017-04-18,1024
2017-04-19,949
2017-04-20,923
2017-04-21,897
2017-04-22,779
2017-04-23,725
2017-04-24,803
2017-04-25,786
2017-04-26,928
2017-04-27,862
2017-04-28,788
2017-04-29,733
2017-04-30,758
2017-05-01,846
2017-05-02,1022
2017-05-03,979
2017-05-04,988
2017-05-05,861
2017-05-06,828
2017-05-07,812
2017-05-08,885
2017-05-09,896
2017-05-10,888
2017-05-11,891
2017-05-12,829
2017-05-13,768
2017-05-14,746
2017-05-15,771
2017-05-16,939
2017-05-17,846
2017-05-18,809
2017-05-19,818
2017-05-20,799
2017-05-21,781
2017-05-22,872
2017-05-23,830
2017-05-24,840
2017-05-25,781
2017-05-26,803
2017-05-27,735
2017-05-28,752
2017-05-29,850
2017-05-30,827
2017-05-31,783
2017-06-01,801
2017-06-02,681
2017-06-03,682
2017-06-04,911
2017-06-05,860
2017-06-06,811
2017-06-07,791
2017-06-08,1304
2017-06-09,1054
2017-06-10,769
2017-06-11,792
2017-06-12,803
2017-06-13,751
2017-06-14,749
2017-06-15,701
2017-06-16,679
2017-06-17,694
2017-06-18,702
2017-06-19,882
2017-06-20,792
