Date,"Vaccino"
2016-06-19,265
2016-06-20,370
2016-06-21,307
2016-06-22,241
2016-06-23,246
2016-06-24,194
2016-06-25,136
2016-06-26,213
2016-06-27,254
2016-06-28,266
2016-06-29,311
2016-06-30,245
2016-07-01,204
2016-07-02,171
2016-07-03,217
2016-07-04,243
2016-07-05,292
2016-07-06,346
2016-07-07,240
2016-07-08,194
2016-07-09,140
2016-07-10,161
2016-07-11,230
2016-07-12,247
2016-07-13,236
2016-07-14,172
2016-07-15,196
2016-07-16,134
2016-07-17,172
2016-07-18,234
2016-07-19,181
2016-07-20,373
2016-07-21,397
2016-07-22,264
2016-07-23,176
2016-07-24,140
2016-07-25,185
2016-07-26,189
2016-07-27,261
2016-07-28,169
2016-07-29,147
2016-07-30,171
2016-07-31,124
2016-08-01,200
2016-08-02,321
2016-08-03,273
2016-08-04,217
2016-08-05,163
2016-08-06,123
2016-08-07,130
2016-08-08,172
2016-08-09,185
2016-08-10,182
2016-08-11,179
2016-08-12,197
2016-08-13,123
2016-08-14,82
2016-08-15,91
2016-08-16,169
2016-08-17,140
2016-08-18,157
2016-08-19,112
2016-08-20,111
2016-08-21,119
2016-08-22,210
2016-08-23,209
2016-08-24,201
2016-08-25,212
2016-08-26,200
2016-08-27,156
2016-08-28,120
2016-08-29,195
2016-08-30,206
2016-08-31,230
2016-09-01,220
2016-09-02,216
2016-09-03,182
2016-09-04,175
2016-09-05,277
2016-09-06,241
2016-09-07,273
2016-09-08,238
2016-09-09,248
2016-09-10,194
2016-09-11,176
2016-09-12,262
2016-09-13,402
2016-09-14,303
2016-09-15,273
2016-09-16,234
2016-09-17,233
2016-09-18,220
2016-09-19,295
2016-09-20,327
2016-09-21,277
2016-09-22,364
2016-09-23,220
2016-09-24,171
2016-09-25,214
2016-09-26,246
2016-09-27,267
2016-09-28,384
2016-09-29,467
2016-09-30,289
2016-10-01,178
2016-10-02,180
2016-10-03,328
2016-10-04,372
2016-10-05,335
2016-10-06,319
2016-10-07,262
2016-10-08,269
2016-10-09,226
2016-10-10,276
2016-10-11,362
2016-10-12,344
2016-10-13,286
2016-10-14,217
2016-10-15,191
2016-10-16,169
2016-10-17,323
2016-10-18,259
2016-10-19,239
2016-10-20,367
2016-10-21,270
2016-10-22,219
2016-10-23,216
2016-10-24,329
2016-10-25,375
2016-10-26,298
2016-10-27,382
2016-10-28,298
2016-10-29,210
2016-10-30,177
2016-10-31,205
2016-11-01,161
2016-11-02,332
2016-11-03,344
2016-11-04,290
2016-11-05,209
2016-11-06,253
2016-11-07,336
2016-11-08,350
2016-11-09,292
2016-11-10,379
2016-11-11,310
2016-11-12,242
2016-11-13,277
2016-11-14,323
2016-11-15,409
2016-11-16,398
2016-11-17,343
2016-11-18,416
2016-11-19,350
2016-11-20,300
2016-11-21,400
2016-11-22,587
2016-11-23,959
2016-11-24,749
2016-11-25,447
2016-11-26,328
2016-11-27,368
2016-11-28,439
2016-11-29,521
2016-11-30,433
2016-12-01,455
2016-12-02,439
2016-12-03,409
2016-12-04,350
2016-12-05,379
2016-12-06,558
2016-12-07,279
2016-12-08,221
2016-12-09,327
2016-12-10,221
2016-12-11,311
2016-12-12,370
2016-12-13,442
2016-12-14,369
2016-12-15,295
2016-12-16,283
2016-12-17,238
2016-12-18,377
2016-12-19,469
2016-12-20,313
2016-12-21,293
2016-12-22,267
2016-12-23,156
2016-12-24,115
2016-12-25,136
2016-12-26,204
2016-12-27,245
2016-12-28,423
2016-12-29,730
