Date,"Rinorrea"
2016-06-19,60
2016-06-20,60
2016-06-21,57
2016-06-22,63
2016-06-23,41
2016-06-24,40
2016-06-25,42
2016-06-26,41
2016-06-27,40
2016-06-28,45
2016-06-29,47
2016-06-30,55
2016-07-01,54
2016-07-02,27
2016-07-03,49
2016-07-04,47
2016-07-05,125
2016-07-06,65
2016-07-07,53
2016-07-08,52
2016-07-09,34
2016-07-10,40
2016-07-11,48
2016-07-12,37
2016-07-13,40
2016-07-14,43
2016-07-15,47
2016-07-16,52
2016-07-17,41
2016-07-18,44
2016-07-19,58
2016-07-20,51
2016-07-21,38
2016-07-22,52
2016-07-23,30
2016-07-24,36
2016-07-25,36
2016-07-26,39
2016-07-27,79
2016-07-28,51
2016-07-29,32
2016-07-30,33
2016-07-31,65
2016-08-01,52
2016-08-02,35
2016-08-03,37
2016-08-04,54
2016-08-05,39
2016-08-06,51
2016-08-07,50
2016-08-08,39
2016-08-09,41
2016-08-10,34
2016-08-11,41
2016-08-12,34
2016-08-13,28
2016-08-14,37
2016-08-15,31
2016-08-16,48
2016-08-17,39
2016-08-18,44
2016-08-19,43
2016-08-20,34
2016-08-21,32
2016-08-22,54
2016-08-23,40
2016-08-24,50
2016-08-25,54
2016-08-26,49
2016-08-27,41
2016-08-28,44
2016-08-29,50
2016-08-30,58
2016-08-31,47
2016-09-01,57
2016-09-02,53
2016-09-03,39
2016-09-04,44
2016-09-05,53
2016-09-06,54
2016-09-07,40
2016-09-08,39
2016-09-09,45
2016-09-10,26
2016-09-11,42
2016-09-12,43
2016-09-13,46
2016-09-14,40
2016-09-15,41
2016-09-16,42
2016-09-17,41
2016-09-18,44
2016-09-19,46
2016-09-20,52
2016-09-21,57
2016-09-22,53
2016-09-23,59
2016-09-24,38
2016-09-25,41
2016-09-26,47
2016-09-27,71
2016-09-28,66
2016-09-29,76
2016-09-30,78
2016-10-01,83
2016-10-02,50
2016-10-03,60
2016-10-04,70
2016-10-05,57
2016-10-06,77
2016-10-07,62
2016-10-08,41
2016-10-09,62
2016-10-10,75
2016-10-11,64
2016-10-12,70
2016-10-13,67
2016-10-14,57
2016-10-15,52
2016-10-16,46
2016-10-17,47
2016-10-18,78
2016-10-19,71
2016-10-20,60
2016-10-21,52
2016-10-22,47
2016-10-23,46
2016-10-24,78
2016-10-25,68
2016-10-26,49
2016-10-27,56
2016-10-28,51
2016-10-29,45
2016-10-30,45
2016-10-31,49
2016-11-01,63
2016-11-02,46
2016-11-03,63
2016-11-04,54
2016-11-05,48
2016-11-06,41
2016-11-07,52
2016-11-08,55
2016-11-09,46
2016-11-10,35
2016-11-11,38
2016-11-12,39
2016-11-13,45
2016-11-14,68
2016-11-15,56
2016-11-16,72
2016-11-17,51
2016-11-18,57
2016-11-19,49
2016-11-20,48
2016-11-21,64
2016-11-22,51
2016-11-23,71
2016-11-24,56
2016-11-25,50
2016-11-26,48
2016-11-27,52
2016-11-28,39
2016-11-29,50
2016-11-30,52
2016-12-01,39
2016-12-02,56
2016-12-03,45
2016-12-04,45
2016-12-05,54
2016-12-06,71
2016-12-07,56
2016-12-08,58
2016-12-09,61
2016-12-10,49
2016-12-11,41
2016-12-12,77
2016-12-13,55
2016-12-14,77
2016-12-15,70
2016-12-16,55
2016-12-17,39
2016-12-18,58
2016-12-19,55
2016-12-20,66
2016-12-21,58
2016-12-22,62
2016-12-23,51
2016-12-24,53
2016-12-25,52
2016-12-26,60
2016-12-27,86
2016-12-28,88
2016-12-29,97
2016-12-30,77
2016-12-31,45
2017-01-01,53
2017-01-02,95
2017-01-03,79
2017-01-04,69
2017-01-05,71
2017-01-06,81
2017-01-07,70
2017-01-08,79
2017-01-09,90
2017-01-10,70
2017-01-11,67
2017-01-12,74
2017-01-13,68
2017-01-14,72
2017-01-15,56
2017-01-16,65
2017-01-17,71
2017-01-18,54
2017-01-19,59
2017-01-20,72
2017-01-21,58
2017-01-22,65
2017-01-23,81
2017-01-24,58
2017-01-25,56
2017-01-26,60
2017-01-27,66
2017-01-28,55
2017-01-29,70
2017-01-30,67
2017-01-31,60
2017-02-01,64
2017-02-02,68
2017-02-03,64
2017-02-04,45
2017-02-05,72
2017-02-06,109
2017-02-07,68
2017-02-08,84
2017-02-09,68
2017-02-10,53
2017-02-11,49
2017-02-12,57
2017-02-13,70
2017-02-14,68
2017-02-15,55
2017-02-16,77
2017-02-17,80
2017-02-18,59
2017-02-19,80
2017-02-20,77
2017-02-21,76
2017-02-22,43
2017-02-23,61
2017-02-24,70
2017-02-25,54
2017-02-26,61
2017-02-27,67
2017-02-28,68
2017-03-01,64
2017-03-02,69
2017-03-03,58
2017-03-04,57
2017-03-05,64
2017-03-06,74
2017-03-07,64
2017-03-08,72
2017-03-09,67
2017-03-10,56
2017-03-11,50
2017-03-12,58
2017-03-13,73
2017-03-14,71
2017-03-15,76
2017-03-16,66
2017-03-17,57
2017-03-18,50
2017-03-19,58
2017-03-20,56
2017-03-21,53
2017-03-22,56
2017-03-23,73
2017-03-24,65
2017-03-25,29
2017-03-26,50
2017-03-27,42
2017-03-28,50
2017-03-29,56
2017-03-30,44
2017-03-31,56
2017-04-01,44
2017-04-02,38
2017-04-03,65
2017-04-04,41
2017-04-05,51
2017-04-06,41
2017-04-07,57
2017-04-08,36
2017-04-09,42
2017-04-10,47
2017-04-11,42
2017-04-12,48
2017-04-13,56
2017-04-14,32
2017-04-15,60
2017-04-16,47
