Date,"Febbre"
2016-06-18,383
2016-06-19,439
2016-06-20,463
2016-06-21,496
2016-06-22,415
2016-06-23,438
2016-06-24,370
2016-06-25,407
2016-06-26,405
2016-06-27,433
2016-06-28,410
2016-06-29,399
2016-06-30,413
2016-07-01,325
2016-07-02,337
2016-07-03,347
2016-07-04,439
2016-07-05,416
2016-07-06,392
2016-07-07,393
2016-07-08,402
2016-07-09,391
2016-07-10,377
2016-07-11,370
2016-07-12,376
2016-07-13,453
2016-07-14,408
2016-07-15,393
2016-07-16,369
2016-07-17,388
2016-07-18,452
2016-07-19,418
2016-07-20,380
2016-07-21,385
2016-07-22,365
2016-07-23,281
2016-07-24,350
2016-07-25,343
2016-07-26,333
2016-07-27,356
2016-07-28,287
2016-07-29,258
2016-07-30,248
2016-07-31,283
2016-08-01,313
2016-08-02,309
2016-08-03,381
2016-08-04,327
2016-08-05,313
2016-08-06,254
2016-08-07,274
2016-08-08,298
2016-08-09,314
2016-08-10,303
2016-08-11,339
2016-08-12,302
2016-08-13,284
2016-08-14,297
2016-08-15,309
2016-08-16,306
2016-08-17,337
2016-08-18,336
2016-08-19,324
2016-08-20,293
2016-08-21,313
2016-08-22,355
2016-08-23,387
2016-08-24,361
2016-08-25,407
2016-08-26,356
2016-08-27,293
2016-08-28,348
2016-08-29,387
2016-08-30,423
2016-08-31,436
2016-09-01,378
2016-09-02,347
2016-09-03,362
2016-09-04,417
2016-09-05,437
2016-09-06,446
2016-09-07,420
2016-09-08,443
2016-09-09,400
2016-09-10,395
2016-09-11,401
2016-09-12,425
2016-09-13,422
2016-09-14,384
2016-09-15,432
2016-09-16,379
2016-09-17,350
2016-09-18,419
2016-09-19,485
2016-09-20,601
2016-09-21,512
2016-09-22,477
2016-09-23,456
2016-09-24,435
2016-09-25,531
2016-09-26,636
2016-09-27,571
2016-09-28,630
2016-09-29,613
2016-09-30,597
2016-10-01,534
2016-10-02,578
2016-10-03,566
2016-10-04,538
2016-10-05,855
2016-10-06,719
2016-10-07,648
2016-10-08,587
2016-10-09,628
2016-10-10,672
2016-10-11,644
2016-10-12,689
2016-10-13,638
2016-10-14,498
2016-10-15,438
2016-10-16,455
2016-10-17,562
2016-10-18,508
2016-10-19,497
2016-10-20,500
2016-10-21,493
2016-10-22,432
2016-10-23,474
2016-10-24,510
2016-10-25,508
2016-10-26,543
2016-10-27,498
2016-10-28,408
2016-10-29,359
2016-10-30,374
2016-10-31,382
2016-11-01,424
2016-11-02,502
2016-11-03,475
2016-11-04,424
2016-11-05,426
2016-11-06,454
2016-11-07,525
2016-11-08,513
2016-11-09,447
2016-11-10,442
2016-11-11,421
2016-11-12,411
2016-11-13,487
2016-11-14,544
2016-11-15,506
2016-11-16,468
2016-11-17,492
2016-11-18,374
2016-11-19,445
2016-11-20,467
2016-11-21,623
2016-11-22,540
2016-11-23,552
2016-11-24,537
2016-11-25,469
2016-11-26,447
2016-11-27,438
2016-11-28,526
2016-11-29,531
2016-11-30,582
2016-12-01,540
2016-12-02,525
2016-12-03,560
2016-12-04,577
2016-12-05,660
2016-12-06,616
2016-12-07,542
2016-12-08,632
2016-12-09,619
2016-12-10,604
2016-12-11,744
2016-12-12,798
2016-12-13,713
2016-12-14,742
2016-12-15,778
2016-12-16,655
2016-12-17,732
2016-12-18,786
2016-12-19,917
2016-12-20,985
2016-12-21,1052
2016-12-22,971
2016-12-23,875
2016-12-24,802
2016-12-25,869
2016-12-26,1342
2016-12-27,1335
2016-12-28,1500
2016-12-29,1554
2016-12-30,1401
2016-12-31,1088
2017-01-01,1009
2017-01-02,1351
2017-01-03,1434
2017-01-04,1414
2017-01-05,1249
2017-01-06,1137
2017-01-07,1018
2017-01-08,1019
2017-01-09,1047
2017-01-10,1010
2017-01-11,943
2017-01-12,1059
2017-01-13,859
2017-01-14,879
2017-01-15,994
2017-01-16,970
2017-01-17,864
2017-01-18,907
2017-01-19,855
2017-01-20,767
2017-01-21,804
2017-01-22,782
2017-01-23,956
2017-01-24,866
2017-01-25,814
2017-01-26,793
2017-01-27,731
2017-01-28,704
2017-01-29,799
2017-01-30,883
2017-01-31,819
2017-02-01,845
2017-02-02,779
2017-02-03,686
