Date,"Pagina principale"
2016-04-15,1413966
2016-04-16,1382858
2016-04-17,1390690
2016-04-18,1432709
2016-04-19,1416885
2016-04-20,1403225
2016-04-21,1413316
2016-04-22,1390616
2016-04-23,1376098
2016-04-24,1376290
2016-04-25,1385503
2016-04-26,1444935
2016-04-27,1444384
2016-04-28,1453054
2016-04-29,1428036
2016-04-30,1388434
2016-05-01,1409566
2016-05-02,1443894
2016-05-03,1460152
2016-05-04,1450380
2016-05-05,1446287
2016-05-06,1428224
2016-05-07,1389224
2016-05-08,1385376
2016-05-09,1514300
2016-05-10,1531292
2016-05-11,1560575
2016-05-12,1472073
2016-05-13,1494438
2016-05-14,1461013
2016-05-15,1591025
2016-05-16,1627185
2016-05-17,1549808
2016-05-18,1590293
2016-05-19,1646919
2016-05-20,1522003
2016-05-21,1534387
2016-05-22,1511346
2016-05-23,1595448
2016-05-24,1586346
2016-05-25,1602476
2016-05-26,1517819
2016-05-27,1477746
2016-05-28,1426028
2016-05-29,1367712
2016-05-30,1386742
2016-05-31,1373962
2016-06-01,1359823
2016-06-02,1328687
2016-06-03,1334834
2016-06-04,1323344
2016-06-05,1327032
2016-06-06,1400809
2016-06-07,1393945
2016-06-08,1362059
2016-06-09,1373422
2016-06-10,1352124
2016-06-11,1340730
2016-06-12,1395503
2016-06-13,1393270
2016-06-14,1400871
2016-06-15,1362889
2016-06-16,1335512
2016-06-17,1341387
2016-06-18,1278830
2016-06-19,1294915
2016-06-20,1344682
2016-06-21,1337194
2016-06-22,1328651
2016-06-23,1306745
2016-06-24,1290790
2016-06-25,1251025
2016-06-26,1254943
2016-06-27,1345733
2016-06-28,1316909
2016-06-29,1289646
2016-06-30,1285866
2016-07-01,1262591
2016-07-02,1249598
2016-07-03,1225845
2016-07-04,1281985
2016-07-05,1274120
2016-07-06,1267853
2016-07-07,1259875
2016-07-08,1250271
2016-07-09,1208923
2016-07-10,1206230
2016-07-11,1270495
2016-07-12,1262200
2016-07-13,1249294
2016-07-14,1247252
2016-07-15,1259615
2016-07-16,1233425
2016-07-17,1208401
2016-07-18,1258310
2016-07-19,1250541
2016-07-20,1246286
2016-07-21,1242808
2016-07-22,1228832
2016-07-23,1200893
2016-07-24,1200866
2016-07-25,1245331
2016-07-26,1244309
2016-07-27,1238275
2016-07-28,1232223
2016-07-29,1221970
2016-07-30,1179356
2016-07-31,1177770
2016-08-01,1229594
2016-08-02,1223837
2016-08-03,1214297
2016-08-04,1213778
2016-08-05,1208000
2016-08-06,1162699
2016-08-07,1151053
2016-08-08,1189816
2016-08-09,1188391
2016-08-10,1176414
2016-08-11,1165105
2016-08-12,1169763
2016-08-13,1120440
2016-08-14,1109467
2016-08-15,1100374
2016-08-16,1151234
2016-08-17,1159311
2016-08-18,1159505
2016-08-19,1160202
2016-08-20,1144305
2016-08-21,1149665
2016-08-22,1193046
2016-08-23,1192935
2016-08-24,1204523
2016-08-25,1188847
2016-08-26,1179201
2016-08-27,1146385
2016-08-28,1158303
2016-08-29,1221784
2016-08-30,1235631
2016-08-31,1241037
2016-09-01,1237578
2016-09-02,1224446
2016-09-03,1183213
2016-09-04,1200991
2016-09-05,1260121
2016-09-06,1259655
2016-09-07,1260081
2016-09-08,1251958
2016-09-09,1241668
2016-09-10,1219838
2016-09-11,1232691
2016-09-12,1263841
2016-09-13,1236241
2016-09-14,1258024
2016-09-15,1267550
2016-09-16,1241299
2016-09-17,1195028
2016-09-18,1207320
2016-09-19,1233041
2016-09-20,1224110
2016-09-21,1270923
2016-09-22,1261357
2016-09-23,1233624
2016-09-24,1220714
2016-09-25,1225948
2016-09-26,1257732
2016-09-27,1261292
2016-09-28,1248037
2016-09-29,1241980
2016-09-30,1220266
2016-10-01,1198535
2016-10-02,1210220
2016-10-03,1249138
2016-10-04,1250241
2016-10-05,1261334
2016-10-06,1280159
2016-10-07,1238656
2016-10-08,1231299
2016-10-09,1232914
2016-10-10,1244394
2016-10-11,1247589
2016-10-12,1224191
2016-10-13,1209498
2016-10-14,1220655
2016-10-15,1184626
2016-10-16,1183669
2016-10-17,1234158
2016-10-18,1225459
2016-10-19,1236313
2016-10-20,1222939
2016-10-21,1204272
2016-10-22,1158100
2016-10-23,1181041
2016-10-24,1226319
2016-10-25,1229949
2016-10-26,1223351
2016-10-27,1212465
2016-10-28,1196561
2016-10-29,1172379
2016-10-30,1135553
2016-10-31,1185174
2016-11-01,1182207
2016-11-02,1209018
2016-11-03,1207697
2016-11-04,1189879
2016-11-05,1176415
2016-11-06,1190186
2016-11-07,1220479
2016-11-08,1223189
2016-11-09,1225846
2016-11-10,1201043
2016-11-11,1196878
2016-11-12,1173827
2016-11-13,1188002
2016-11-14,1236884
2016-11-15,1225618
2016-11-16,1201275
2016-11-17,1207645
2016-11-18,1204669
2016-11-19,1180589
2016-11-20,1178298
2016-11-21,1230278
2016-11-22,1232026
2016-11-23,1229096
2016-11-24,1217868
2016-11-25,1207628
2016-11-26,1172554
2016-11-27,1175075
2016-11-28,1224049
2016-11-29,1206944
2016-11-30,1219331
2016-12-01,1178447
2016-12-02,1172017
2016-12-03,1142953
2016-12-04,1166418
2016-12-05,1202807
2016-12-06,1184243
2016-12-07,1163238
2016-12-08,1150916
2016-12-09,1149726
2016-12-10,1116344
2016-12-11,1138451
2016-12-12,1187620
2016-12-13,1171407
2016-12-14,1172233
2016-12-15,1157737
2016-12-16,1137364
2016-12-17,1097046
2016-12-18,1103962
2016-12-19,1144681
2016-12-20,1150918
2016-12-21,1173686
2016-12-22,1176086
2016-12-23,1155337
2016-12-24,1112399
2016-12-25,1162892
2016-12-26,1206004
2016-12-27,1209850
2016-12-28,1165694
2016-12-29,1168077
2016-12-30,1139449
2016-12-31,1091110
2017-01-01,1105009
2017-01-02,1169080
2017-01-03,1204818
2017-01-04,1160904
2017-01-05,1152462
2017-01-06,1132418
2017-01-07,1161065
2017-01-08,1174725
2017-01-09,1216598
2017-01-10,1227367
2017-01-11,1217772
2017-01-12,1203782
2017-01-13,1200335
2017-01-14,1202116
2017-01-15,1245345
2017-01-16,1279372
2017-01-17,1211666
2017-01-18,1231770
2017-01-19,1243688
2017-01-20,1195804
2017-01-21,1189786
2017-01-22,1197851
2017-01-23,1241283
2017-01-24,1188100
2017-01-25,1173772
2017-01-26,1216172
2017-01-27,1177028
2017-01-28,1209086
2017-01-29,1211662
2017-01-30,1237490
2017-01-31,1200064
2017-02-01,1160090
2017-02-02,1185181
2017-02-03,1165022
2017-02-04,1149649
2017-02-05,1192647
2017-02-06,1227741
2017-02-07,1201284
2017-02-08,1177992
2017-02-09,1219235
2017-02-10,1334526
2017-02-11,1177999
2017-02-12,1306479
2017-02-13,1211301
2017-02-14,1242689
2017-02-15,1224758
2017-02-16,1185888
2017-02-17,1192403
2017-02-18,1157231
2017-02-19,1177916
2017-02-20,1206523
2017-02-21,1183350
2017-02-22,1221402
2017-02-23,1240464
2017-02-24,1224643
2017-02-25,1160612
2017-02-26,1200592
2017-02-27,1217839
2017-02-28,1243098
2017-03-01,1177768
2017-03-02,1134113
2017-03-03,1173251
2017-03-04,1118665
2017-03-05,1225378
2017-03-06,1298494
2017-03-07,1165752
2017-03-08,1199563
2017-03-09,1125231
2017-03-10,1156854
2017-03-11,1125501
2017-03-12,1152189
2017-03-13,1188822
2017-03-14,1126451
2017-03-15,1137489
2017-03-16,1123734
2017-03-17,1141820
2017-03-18,1093829
2017-03-19,1162729
2017-03-20,1174766
2017-03-21,1166304
2017-03-22,1145778
2017-03-23,1141293
2017-03-24,1086553
2017-03-25,1078220
2017-03-26,1110650
2017-03-27,1119139
