Date,"Mialgia"
2016-06-19,133
2016-06-20,166
2016-06-21,150
2016-06-22,152
2016-06-23,144
2016-06-24,123
2016-06-25,105
2016-06-26,132
2016-06-27,135
2016-06-28,140
2016-06-29,163
2016-06-30,128
2016-07-01,116
2016-07-02,91
2016-07-03,96
2016-07-04,171
2016-07-05,158
2016-07-06,134
2016-07-07,154
2016-07-08,125
2016-07-09,107
2016-07-10,113
2016-07-11,93
2016-07-12,136
2016-07-13,135
2016-07-14,136
2016-07-15,133
2016-07-16,90
2016-07-17,116
2016-07-18,114
2016-07-19,94
2016-07-20,120
2016-07-21,126
2016-07-22,120
2016-07-23,95
2016-07-24,82
2016-07-25,122
2016-07-26,125
2016-07-27,131
2016-07-28,118
2016-07-29,120
2016-07-30,80
2016-07-31,112
2016-08-01,143
2016-08-02,155
2016-08-03,131
2016-08-04,133
2016-08-05,123
2016-08-06,102
2016-08-07,84
2016-08-08,101
2016-08-09,92
2016-08-10,113
2016-08-11,90
2016-08-12,105
2016-08-13,93
2016-08-14,91
2016-08-15,94
2016-08-16,109
2016-08-17,135
2016-08-18,114
2016-08-19,125
2016-08-20,106
2016-08-21,93
2016-08-22,123
2016-08-23,139
2016-08-24,118
2016-08-25,112
2016-08-26,114
2016-08-27,95
2016-08-28,91
2016-08-29,137
2016-08-30,124
2016-08-31,149
2016-09-01,172
2016-09-02,162
2016-09-03,113
2016-09-04,126
2016-09-05,169
2016-09-06,161
2016-09-07,149
2016-09-08,119
2016-09-09,129
2016-09-10,91
2016-09-11,107
2016-09-12,118
2016-09-13,136
2016-09-14,121
2016-09-15,127
2016-09-16,122
2016-09-17,113
2016-09-18,112
2016-09-19,115
2016-09-20,108
2016-09-21,103
2016-09-22,91
2016-09-23,110
2016-09-24,81
2016-09-25,87
2016-09-26,117
2016-09-27,117
2016-09-28,139
2016-09-29,165
2016-09-30,139
2016-10-01,112
2016-10-02,121
2016-10-03,128
2016-10-04,137
2016-10-05,130
2016-10-06,140
2016-10-07,121
2016-10-08,116
2016-10-09,113
2016-10-10,127
2016-10-11,143
2016-10-12,150
2016-10-13,132
2016-10-14,141
2016-10-15,137
2016-10-16,138
2016-10-17,155
2016-10-18,147
2016-10-19,161
2016-10-20,150
2016-10-21,109
2016-10-22,108
2016-10-23,106
2016-10-24,145
2016-10-25,132
2016-10-26,113
2016-10-27,146
2016-10-28,111
2016-10-29,103
2016-10-30,110
2016-10-31,110
2016-11-01,127
2016-11-02,150
2016-11-03,133
2016-11-04,134
2016-11-05,122
2016-11-06,143
2016-11-07,133
2016-11-08,126
2016-11-09,127
2016-11-10,150
2016-11-11,135
2016-11-12,95
2016-11-13,120
2016-11-14,147
2016-11-15,133
2016-11-16,152
2016-11-17,127
2016-11-18,125
2016-11-19,109
2016-11-20,112
2016-11-21,165
2016-11-22,189
2016-11-23,170
2016-11-24,141
2016-11-25,134
2016-11-26,132
2016-11-27,130
2016-11-28,148
2016-11-29,146
2016-11-30,145
2016-12-01,145
2016-12-02,131
2016-12-03,113
2016-12-04,105
2016-12-05,130
2016-12-06,127
2016-12-07,123
2016-12-08,113
2016-12-09,123
2016-12-10,132
2016-12-11,74
2016-12-12,126
2016-12-13,111
2016-12-14,121
2016-12-15,110
2016-12-16,72
2016-12-17,88
2016-12-18,98
2016-12-19,114
2016-12-20,103
2016-12-21,122
2016-12-22,112
2016-12-23,94
2016-12-24,61
2016-12-25,73
2016-12-26,78
2016-12-27,106
2016-12-28,146
2016-12-29,198
2016-12-30,179
2016-12-31,73
2017-01-01,104
2017-01-02,169
2017-01-03,155
2017-01-04,123
2017-01-05,120
2017-01-06,99
2017-01-07,96
2017-01-08,92
2017-01-09,116
2017-01-10,123
2017-01-11,123
2017-01-12,136
2017-01-13,129
2017-01-14,102
2017-01-15,107
2017-01-16,116
2017-01-17,123
2017-01-18,108
2017-01-19,118
2017-01-20,106
2017-01-21,88
2017-01-22,99
2017-01-23,126
2017-01-24,121
2017-01-25,119
2017-01-26,128
2017-01-27,102
2017-01-28,109
2017-01-29,106
2017-01-30,135
2017-01-31,120
2017-02-01,157
2017-02-02,133
2017-02-03,165
2017-02-04,140
2017-02-05,156
2017-02-06,205
2017-02-07,151
2017-02-08,161
2017-02-09,158
2017-02-10,126
2017-02-11,99
2017-02-12,120
2017-02-13,167
2017-02-14,106
2017-02-15,126
2017-02-16,148
2017-02-17,131
2017-02-18,117
2017-02-19,101
2017-02-20,134
2017-02-21,130
2017-02-22,143
2017-02-23,138
2017-02-24,134
2017-02-25,125
2017-02-26,102
2017-02-27,137
2017-02-28,141
2017-03-01,109
2017-03-02,136
2017-03-03,129
2017-03-04,108
2017-03-05,94
2017-03-06,118
2017-03-07,130
2017-03-08,122
2017-03-09,113
2017-03-10,127
2017-03-11,97
2017-03-12,113
2017-03-13,118
2017-03-14,103
2017-03-15,97
2017-03-16,108
2017-03-17,112
2017-03-18,85
2017-03-19,75
2017-03-20,122
2017-03-21,121
2017-03-22,110
2017-03-23,114
2017-03-24,73
2017-03-25,89
2017-03-26,93
2017-03-27,100
2017-03-28,85
2017-03-29,72
2017-03-30,105
2017-03-31,100
2017-04-01,72
2017-04-02,91
2017-04-03,117
2017-04-04,116
2017-04-05,110
2017-04-06,97
2017-04-07,95
2017-04-08,79
2017-04-09,64
2017-04-10,115
2017-04-11,117
2017-04-12,95
2017-04-13,117
2017-04-14,85
2017-04-15,93
2017-04-16,62
2017-04-17,81
2017-04-18,94
2017-04-19,93
2017-04-20,112
2017-04-21,97
2017-04-22,77
2017-04-23,71
2017-04-24,82
2017-04-25,73
2017-04-26,100
2017-04-27,86
2017-04-28,78
2017-04-29,80
2017-04-30,72
2017-05-01,58
2017-05-02,95
2017-05-03,99
2017-05-04,100
2017-05-05,74
2017-05-06,71
2017-05-07,78
2017-05-08,84
2017-05-09,73
2017-05-10,83
2017-05-11,92
2017-05-12,94
2017-05-13,67
2017-05-14,76
2017-05-15,87
2017-05-16,113
2017-05-17,108
2017-05-18,103
2017-05-19,87
2017-05-20,89
2017-05-21,80
2017-05-22,96
2017-05-23,104
2017-05-24,100
2017-05-25,93
2017-05-26,87
2017-05-27,84
2017-05-28,70
2017-05-29,83
2017-05-30,94
2017-05-31,90
2017-06-01,76
2017-06-02,75
2017-06-03,80
2017-06-04,78
2017-06-05,112
2017-06-06,111
2017-06-07,96
2017-06-08,87
2017-06-09,86
2017-06-10,71
2017-06-11,76
2017-06-12,114
2017-06-13,71
2017-06-14,91
2017-06-15,63
2017-06-16,89
2017-06-17,86
2017-06-18,80
2017-06-19,83
2017-06-20,101
2017-06-21,107
2017-06-22,84
2017-06-23,92
2017-06-24,71
2017-06-25,73
2017-06-26,83
2017-06-27,102
2017-06-28,77
2017-06-29,86
2017-06-30,86
2017-07-01,77
2017-07-02,57
2017-07-03,76
2017-07-04,85
2017-07-05,100
2017-07-06,85
2017-07-07,90
2017-07-08,74
2017-07-09,71
2017-07-10,101
2017-07-11,87
2017-07-12,85
2017-07-13,92
2017-07-14,86
2017-07-15,111
2017-07-16,78
2017-07-17,111
2017-07-18,74
2017-07-19,85
2017-07-20,103
2017-07-21,71
2017-07-22,55
2017-07-23,62
2017-07-24,87
2017-07-25,73
2017-07-26,85
2017-07-27,86
2017-07-28,81
2017-07-29,65
2017-07-30,69
2017-07-31,110
2017-08-01,89
2017-08-02,97
2017-08-03,70
2017-08-04,70
2017-08-05,59
2017-08-06,55
2017-08-07,69
2017-08-08,87
2017-08-09,77
2017-08-10,71
2017-08-11,58
2017-08-12,75
2017-08-13,69
2017-08-14,53
2017-08-15,70
2017-08-16,73
2017-08-17,77
2017-08-18,71
2017-08-19,75
2017-08-20,65
2017-08-21,74
2017-08-22,84
2017-08-23,87
2017-08-24,77
2017-08-25,72
2017-08-26,72
2017-08-27,85
2017-08-28,96
2017-08-29,123
2017-08-30,123
2017-08-31,106
2017-09-01,90
2017-09-02,63
2017-09-03,75
2017-09-04,110
2017-09-05,117
2017-09-06,109
2017-09-07,110
2017-09-08,122
2017-09-09,86
2017-09-10,77
