Date,"Vomito"
2016-06-19,202
2016-06-20,263
2016-06-21,173
2016-06-22,194
2016-06-23,156
2016-06-24,165
2016-06-25,161
2016-06-26,186
2016-06-27,179
2016-06-28,161
2016-06-29,152
2016-06-30,172
2016-07-01,172
2016-07-02,146
2016-07-03,164
2016-07-04,207
2016-07-05,154
2016-07-06,158
2016-07-07,170
2016-07-08,159
2016-07-09,159
2016-07-10,184
2016-07-11,161
2016-07-12,201
2016-07-13,167
2016-07-14,153
2016-07-15,166
2016-07-16,150
2016-07-17,187
2016-07-18,176
2016-07-19,158
2016-07-20,147
2016-07-21,140
2016-07-22,180
2016-07-23,158
2016-07-24,175
2016-07-25,183
2016-07-26,148
2016-07-27,135
2016-07-28,135
2016-07-29,153
2016-07-30,132
2016-07-31,132
2016-08-01,152
2016-08-02,150
2016-08-03,154
2016-08-04,155
2016-08-05,149
2016-08-06,125
2016-08-07,137
2016-08-08,157
2016-08-09,148
2016-08-10,149
2016-08-11,122
2016-08-12,134
2016-08-13,108
2016-08-14,123
2016-08-15,149
2016-08-16,150
2016-08-17,147
2016-08-18,157
2016-08-19,183
2016-08-20,149
2016-08-21,157
2016-08-22,174
2016-08-23,149
2016-08-24,159
2016-08-25,155
2016-08-26,154
2016-08-27,160
2016-08-28,156
2016-08-29,184
2016-08-30,161
2016-08-31,173
2016-09-01,177
2016-09-02,163
2016-09-03,147
2016-09-04,182
2016-09-05,169
2016-09-06,180
2016-09-07,176
2016-09-08,174
2016-09-09,173
2016-09-10,133
2016-09-11,192
2016-09-12,179
2016-09-13,187
2016-09-14,166
2016-09-15,156
2016-09-16,141
2016-09-17,137
2016-09-18,170
2016-09-19,173
2016-09-20,130
2016-09-21,161
2016-09-22,153
2016-09-23,153
2016-09-24,137
2016-09-25,176
2016-09-26,196
2016-09-27,177
2016-09-28,149
2016-09-29,168
2016-09-30,162
2016-10-01,159
2016-10-02,141
2016-10-03,158
2016-10-04,168
2016-10-05,159
2016-10-06,156
2016-10-07,137
2016-10-08,126
2016-10-09,181
2016-10-10,199
2016-10-11,136
2016-10-12,174
2016-10-13,181
2016-10-14,131
2016-10-15,133
2016-10-16,165
2016-10-17,195
2016-10-18,212
2016-10-19,131
2016-10-20,169
2016-10-21,159
2016-10-22,131
2016-10-23,202
2016-10-24,184
2016-10-25,178
2016-10-26,147
2016-10-27,219
2016-10-28,139
2016-10-29,157
2016-10-30,171
2016-10-31,167
2016-11-01,209
2016-11-02,209
