Date,"Croup"
2016-06-19,55
2016-06-20,59
2016-06-21,57
2016-06-22,58
2016-06-23,39
2016-06-24,52
2016-06-25,46
2016-06-26,49
2016-06-27,67
2016-06-28,54
2016-06-29,62
2016-06-30,60
2016-07-01,57
2016-07-02,59
2016-07-03,50
2016-07-04,63
2016-07-05,66
2016-07-06,35
2016-07-07,62
2016-07-08,52
2016-07-09,58
2016-07-10,52
2016-07-11,54
2016-07-12,50
2016-07-13,59
2016-07-14,78
2016-07-15,51
2016-07-16,62
2016-07-17,74
2016-07-18,105
2016-07-19,62
2016-07-20,49
2016-07-21,45
2016-07-22,37
2016-07-23,39
2016-07-24,32
2016-07-25,38
2016-07-26,32
2016-07-27,29
2016-07-28,30
2016-07-29,33
2016-07-30,18
2016-07-31,23
2016-08-01,24
2016-08-02,37
2016-08-03,26
2016-08-04,37
2016-08-05,31
2016-08-06,22
2016-08-07,20
2016-08-08,22
2016-08-09,38
2016-08-10,33
2016-08-11,38
2016-08-12,19
2016-08-13,23
2016-08-14,14
2016-08-15,26
2016-08-16,36
2016-08-17,33
2016-08-18,22
2016-08-19,33
2016-08-20,31
2016-08-21,45
2016-08-22,34
2016-08-23,39
2016-08-24,34
2016-08-25,44
2016-08-26,39
2016-08-27,29
2016-08-28,26
2016-08-29,44
2016-08-30,60
2016-08-31,46
2016-09-01,49
2016-09-02,41
2016-09-03,39
2016-09-04,36
2016-09-05,53
2016-09-06,48
2016-09-07,67
2016-09-08,61
2016-09-09,42
2016-09-10,44
2016-09-11,51
2016-09-12,47
2016-09-13,46
2016-09-14,53
2016-09-15,36
2016-09-16,53
2016-09-17,42
2016-09-18,64
2016-09-19,64
2016-09-20,60
2016-09-21,58
2016-09-22,87
2016-09-23,91
2016-09-24,70
2016-09-25,54
2016-09-26,69
2016-09-27,37
2016-09-28,61
2016-09-29,49
2016-09-30,33
2016-10-01,42
2016-10-02,58
2016-10-03,84
2016-10-04,86
2016-10-05,77
2016-10-06,60
2016-10-07,51
2016-10-08,69
2016-10-09,59
2016-10-10,65
2016-10-11,66
2016-10-12,71
2016-10-13,62
2016-10-14,62
2016-10-15,48
2016-10-16,46
2016-10-17,65
2016-10-18,58
2016-10-19,76
2016-10-20,50
2016-10-21,54
2016-10-22,61
2016-10-23,43
2016-10-24,80
2016-10-25,69
2016-10-26,51
2016-10-27,59
2016-10-28,51
2016-10-29,49
2016-10-30,47
2016-10-31,50
2016-11-01,54
2016-11-02,80
2016-11-03,56
2016-11-04,48
2016-11-05,61
2016-11-06,57
2016-11-07,93
2016-11-08,79
2016-11-09,44
2016-11-10,62
2016-11-11,48
2016-11-12,57
2016-11-13,75
2016-11-14,62
2016-11-15,68
2016-11-16,55
2016-11-17,71
2016-11-18,129
2016-11-19,109
2016-11-20,97
2016-11-21,69
2016-11-22,66
2016-11-23,78
2016-11-24,79
2016-11-25,77
2016-11-26,51
2016-11-27,69
2016-11-28,82
2016-11-29,77
2016-11-30,59
2016-12-01,50
2016-12-02,42
2016-12-03,69
2016-12-04,47
2016-12-05,58
2016-12-06,72
2016-12-07,72
2016-12-08,92
2016-12-09,65
2016-12-10,57
2016-12-11,69
2016-12-12,74
2016-12-13,60
2016-12-14,64
2016-12-15,45
2016-12-16,64
2016-12-17,45
2016-12-18,49
2016-12-19,89
2016-12-20,65
2016-12-21,60
2016-12-22,61
2016-12-23,46
2016-12-24,37
2016-12-25,39
2016-12-26,55
2016-12-27,77
2016-12-28,74
2016-12-29,111
2016-12-30,55
2016-12-31,50
2017-01-01,72
2017-01-02,98
2017-01-03,71
2017-01-04,86
2017-01-05,71
2017-01-06,71
2017-01-07,66
2017-01-08,61
2017-01-09,65
2017-01-10,61
2017-01-11,91
2017-01-12,91
2017-01-13,78
2017-01-14,78
2017-01-15,80
2017-01-16,85
2017-01-17,78
2017-01-18,68
